Name,Summary
Bonekickers,"Set against the backdrop of Bath, a city steeped in 3,000 years of history, Gillian and her team – Dr. Ben Akomfrah (forensic, objective), Professor Gregory Parton (encyclopaedic but terminally louche) and eager young post-grad intern Viv Davis – are brought in under a variety of imperatives to extract bodies, books, weapons and all manner of artefacts which lead them into an investigation of the past that will unlock dangers and mysteries in the present."
ReactToThat,"In the new series, the kids and celebrity reactors not only watch and respond to viral videos, but participate in epic showdowns where they take on a challenge based on a video they just watched. Whether it's a basketball trick shot or the world record for fastest clapping, the challenges bring a physical element to the show that's never been seen in the online version.In its three years since launching online, the React franchise has garnered over 1 billion video views and over 10 million subscribers. The success of Kids React has yielded spinoffs Teens React, Elders React and YouTubers React."
Cupid,"Hale belives, that as a punishmwnt for his arrogance, that he needs to get 100 couples romantically involved."
In a Land of Plenty,"Television adaptation of Tim Pears' novel, charting the ups and downs of the Freeman family over three generations. In 1951, industrialist Charles Freeman weds the enigmatic but naive Mary and whisks her away to a large house overlooking the town where he owns his factory. Their union produces three sons - Simon, James and Robert - and a daughter, Alice, whose lives go on to be touched by tragedy despite their privileged background."
Jack & Jill,"This sitcom in named after two of the six main characters, each with a name rather suggesting the other gender: Jaqueline 'Jack' and David 'Jill' Jillefski, who gradually realize they were in love at first sight. The other main characters are brilliant but insecure med student Barto, philosopher-barman Mikey, a natural womanizer who cultivates immaturity and disarming charm, Broadway-actress-dancer Audrey, who becomes Barto's girl, and Elisa Cronkite, Jack's colleague at the TV station."
Um Mundo Catita,"The burlesque and nonsensical biography of a singer, bohemian and broke, who falls in love with his sexy dentist who is already the fiancée of a well-off executive. The adventures and misadventures of the singer in this wonderful new world are told with tongue-in-cheek and several adult situations."
Lip Service,Lesbian drama series with irreverent humour as a group of friends search for happiness.
Clone,Comedy series revolving around the education of the first human clone.
The Inbetweeners,"The Inbetweeners takes a comedic look at a group of teenagers navigating high school and charging into adulthood the way everyone does... by taking one step forward and three steps back. Whether humiliating themselves in an effort to impress the girl of their dreams, or mercilessly mocking their friend for driving a bright yellow clunker with a cassette player and one blue door, get ready to embrace the ""inbetween""."
Gates,Sky sitcom about parental rivalries on the school run.
Celebrity Motor Homes,"In this fast-paced new series, host Drew Waters tours three luxurious motor homes in every episode. Waters travels around the country - making stops in California, Texas, Montana, Virginia, Florida, Georgia, North Carolina, South Carolina, and Tennessee - to catch up with celebrities on the move and get a look inside their highly customized coaches and rolling road homes. Many of the stars give him a personal tour - pointing out to viewers all of the special add-ons, must-have features and unique design touches created for their individual tastes to make life on the go a smoother ride."
Extra,"Veteran entertainment journalist Billy Bush joins Extra as host and managing editor, bringing his top industry relationships, his signature interview style and his unique point of view to storytelling. Billy is backed up in Los Angeles by longtime correspondent Renee Bargh and new correspondent Jennifer Lahmers; fronting coverage from Times Square, the series welcomes former NFL star and sports commentator Nate Burleson; country singer Jana Kramer taps into her Nashville relationships to report from Music Row, and former Extra co-host Charissa Thompson covers all the doings in Las Vegas."
Mecum Dealmakers,"<i>""Mecum Dealmakers""</i> provides car enthusiasts with a unique, behind-the-scenes look at the high-intensity world of Mecum Auctions, as collector cars change hands with the smack of an auction gavel. Mecum Dealmakers dovetails off of the Mecum Auctions series, and tells the story of President and Founder Dana Mecum and his son Frank Mecum. The father-son tandem works together to manage the high pressure of the auction floor, where buyers and sellers hope to make the deal of a lifetime, often with hundreds of thousands of dollars on the line."
